math score,reading score,writing score,gender_male,race/ethnicity_group B,race/ethnicity_group C,race/ethnicity_group D,race/ethnicity_group E,parental level of education_bachelor's degree,parental level of education_high school,parental level of education_master's degree,parental level of education_some college,parental level of education_some high school,lunch_standard,test preparation course_none,Result
72,72,74,False,True,False,False,False,True,False,False,False,False,True,True,1
69,90,88,False,False,True,False,False,False,False,False,True,False,True,False,1
90,95,93,False,True,False,False,False,False,False,True,False,False,True,True,1
47,57,44,True,False,False,False,False,False,False,False,False,False,False,True,1
76,78,75,True,False,True,False,False,False,False,False,True,False,True,True,1
71,83,78,False,True,False,False,False,False,False,False,False,False,True,True,1
88,95,92,False,True,False,False,False,False,False,False,True,False,True,False,1
40,43,39,True,True,False,False,False,False,False,False,True,False,False,True,1
64,64,67,True,False,False,True,False,False,True,False,False,False,False,False,1
38,60,50,False,True,False,False,False,False,True,False,False,False,False,True,0
58,54,52,True,False,True,False,False,False,False,False,False,False,True,True,1
40,52,43,True,False,False,True,False,False,False,False,False,False,True,True,1
65,81,73,False,True,False,False,False,False,True,False,False,False,True,True,1
78,72,70,True,False,False,False,False,False,False,False,True,False,True,False,1
50,53,58,False,False,False,False,False,False,False,True,False,False,True,True,1
69,75,78,False,False,True,False,False,False,False,False,False,True,True,True,1
88,89,86,True,False,True,False,False,False,True,False,False,False,True,True,1
18,32,28,False,True,False,False,False,False,False,False,False,True,False,True,0
46,42,46,True,False,True,False,False,False,False,True,False,False,False,False,1
54,58,61,False,False,True,False,False,False,False,False,False,False,False,True,1
66,69,63,True,False,False,True,False,False,True,False,False,False,True,True,1
65,75,70,False,True,False,False,False,False,False,False,True,False,False,False,1
44,54,53,True,False,False,True,False,False,False,False,True,False,True,True,1
69,73,73,False,False,True,False,False,False,False,False,False,True,True,True,1
74,71,80,True,False,False,True,False,True,False,False,False,False,False,False,1
73,74,72,True,False,False,False,False,False,False,True,False,False,False,True,1
69,54,55,True,True,False,False,False,False,False,False,True,False,True,True,1
67,69,75,False,False,True,False,False,True,False,False,False,False,True,True,1
70,70,65,True,False,True,False,False,False,True,False,False,False,True,True,1
62,70,75,False,False,False,True,False,False,False,True,False,False,True,True,1
69,74,74,False,False,False,True,False,False,False,False,True,False,True,True,1
63,65,61,False,True,False,False,False,False,False,False,True,False,True,True,1
56,72,65,False,False,False,False,True,False,False,True,False,False,False,True,1
40,42,38,True,False,False,True,False,False,False,False,True,False,True,True,1
97,87,82,True,False,False,False,True,False,False,False,True,False,True,True,1
81,81,79,True,False,False,False,True,False,False,False,False,False,True,False,1
74,81,83,False,False,False,True,False,False,False,False,False,False,True,True,1
50,64,59,False,False,False,True,False,False,False,False,False,True,False,True,1
75,90,88,False,False,False,True,False,False,False,False,False,False,False,False,1
57,56,57,True,True,False,False,False,False,False,False,False,False,False,True,1
55,61,54,True,False,True,False,False,False,False,False,False,False,False,True,1
58,73,68,False,False,True,False,False,False,False,False,False,False,True,True,1
53,58,65,False,True,False,False,False,False,False,False,False,False,True,True,1
59,65,66,True,True,False,False,False,False,False,False,True,False,False,False,1
50,56,54,False,False,False,False,True,False,False,False,False,False,False,True,1
65,54,57,True,True,False,False,False,False,False,False,False,False,True,True,1
55,65,62,False,False,False,False,False,False,False,False,False,False,True,False,1
66,71,76,False,False,True,False,False,False,True,False,False,False,True,True,1
57,74,76,False,False,False,True,False,False,False,False,False,False,False,False,1
82,84,82,True,False,True,False,False,False,True,False,False,False,True,False,1
53,55,48,True,False,False,False,True,False,False,False,True,False,True,True,1
77,69,68,True,False,False,False,True,False,False,False,False,False,False,False,1
53,44,42,True,False,True,False,False,False,False,False,True,False,True,True,1
88,78,75,True,False,False,True,False,False,True,False,False,False,True,True,1
71,84,87,False,False,True,False,False,False,False,False,False,True,False,False,1
33,41,43,False,False,True,False,False,False,True,False,False,False,False,True,0
82,85,86,False,False,False,False,True,False,False,False,False,False,True,False,1
52,55,49,True,False,False,True,False,False,False,False,False,False,True,True,1
58,59,58,True,False,False,True,False,False,False,False,True,False,True,False,1
0,17,10,False,False,True,False,False,False,False,False,False,True,False,True,0
79,74,72,True,False,False,False,True,True,False,False,False,False,False,False,1
39,39,34,True,False,False,False,False,False,False,False,False,True,False,True,0
62,61,55,True,False,False,False,False,False,False,False,False,False,False,True,1
69,80,71,False,False,True,False,False,False,False,False,False,False,True,True,1
59,58,59,False,False,False,True,False,False,False,False,False,True,True,True,1
67,64,61,True,True,False,False,False,False,False,False,False,True,True,True,1
45,37,37,True,False,False,True,False,False,False,False,False,True,False,True,1
60,72,74,False,False,True,False,False,False,False,False,True,False,True,True,1
61,58,56,True,True,False,False,False,False,False,False,False,False,False,True,1
39,64,57,False,False,True,False,False,False,False,False,False,False,True,True,0
58,63,73,False,False,False,True,False,False,False,False,True,False,False,False,1
63,55,63,True,False,False,True,False,False,False,False,True,False,True,False,1
41,51,48,False,False,False,False,False,False,False,False,False,False,False,True,1
61,57,56,True,False,True,False,False,False,False,False,False,True,False,True,1
49,49,41,True,False,True,False,False,False,False,False,False,True,True,True,1
44,41,38,True,True,False,False,False,False,False,False,False,False,False,True,1
30,26,22,True,False,False,False,True,False,False,False,False,True,True,True,0
80,78,81,True,False,False,False,False,True,False,False,False,False,True,False,1
61,74,72,False,False,False,True,False,False,False,False,False,True,True,False,1
62,68,68,False,False,False,False,True,False,False,True,False,False,True,True,1
47,49,50,False,True,False,False,False,False,False,False,False,False,True,True,1
49,45,45,True,True,False,False,False,False,True,False,False,False,False,True,1
50,47,54,True,False,False,False,False,False,False,False,True,False,False,False,1
72,64,63,True,False,False,False,True,False,False,False,False,False,True,True,1
42,39,34,True,False,False,True,False,False,True,False,False,False,False,True,1
73,80,82,False,False,True,False,False,False,False,False,True,False,True,True,1
76,83,88,False,False,True,False,False,False,False,False,True,False,False,True,1
71,71,74,False,False,False,True,False,False,False,False,False,False,True,True,1
58,70,67,False,False,False,False,False,False,False,False,True,False,True,True,1
73,86,82,False,False,False,True,False,False,False,False,False,True,True,True,1
65,72,74,False,False,True,False,False,True,False,False,False,False,True,True,1
27,34,36,True,False,True,False,False,False,True,False,False,False,False,True,0
71,79,71,True,False,True,False,False,False,True,False,False,False,True,True,1
43,45,50,True,False,True,False,False,False,False,False,False,False,False,False,1
79,86,92,False,True,False,False,False,False,False,False,True,False,True,True,1
78,81,82,True,False,True,False,False,False,False,False,False,False,False,False,1
65,66,62,True,True,False,False,False,False,False,False,False,True,True,False,1
63,72,70,False,False,False,False,True,False,False,False,True,False,True,False,1
58,67,62,False,False,False,True,False,False,False,False,True,False,False,True,1
65,67,62,False,False,False,True,False,True,False,False,False,False,True,True,1
79,67,67,True,True,False,False,False,False,False,False,True,False,True,True,1
68,74,74,True,False,False,True,False,True,False,False,False,False,True,False,1
85,91,89,False,False,False,True,False,False,False,False,False,False,True,True,1
60,44,47,True,True,False,False,False,False,True,False,False,False,True,False,1
98,86,90,True,False,True,False,False,False,False,False,True,False,True,False,1
58,67,72,False,False,True,False,False,False,False,False,True,False,True,True,1
87,100,100,False,False,False,True,False,False,False,True,False,False,True,True,1
66,63,64,True,False,False,False,True,False,False,False,False,False,True,False,1
52,76,70,False,True,False,False,False,False,False,False,False,False,False,True,1
70,64,72,False,True,False,False,False,False,False,False,False,True,True,True,1
77,89,98,False,False,False,True,False,False,False,False,False,False,False,False,1
62,55,49,True,False,True,False,False,False,True,False,False,False,True,True,1
54,53,47,True,False,False,False,False,False,False,False,False,False,True,True,1
51,58,54,False,False,False,True,False,False,False,False,True,False,True,True,1
99,100,100,False,False,False,False,True,True,False,False,False,False,True,False,1
84,77,74,True,False,True,False,False,False,True,False,False,False,True,True,1
75,85,82,False,True,False,False,False,True,False,False,False,False,False,True,1
78,82,79,False,False,False,True,False,True,False,False,False,False,True,True,1
51,63,61,False,False,False,True,False,False,False,False,False,True,True,True,1
55,69,65,False,False,True,False,False,False,False,False,True,False,True,True,1
79,92,89,False,False,True,False,False,True,False,False,False,False,True,False,1
91,89,92,True,True,False,False,False,False,False,False,False,False,True,False,1
88,93,93,False,False,True,False,False,False,False,False,True,False,True,False,1
63,57,56,True,False,False,True,False,False,True,False,False,False,False,True,1
83,80,73,True,False,False,False,True,False,False,False,True,False,True,True,1
87,95,86,False,True,False,False,False,False,True,False,False,False,True,True,1
72,68,67,True,True,False,False,False,False,False,False,False,True,True,True,1
65,77,74,True,False,False,True,False,False,False,False,True,False,True,False,1
82,82,74,True,False,False,True,False,False,False,True,False,False,True,True,1
51,49,51,False,False,False,False,False,True,False,False,False,False,True,True,1
89,84,82,True,False,False,True,False,False,False,True,False,False,True,True,1
53,37,40,True,False,True,False,False,False,False,False,False,True,False,False,1
87,74,70,True,False,False,False,True,False,False,False,True,False,False,False,1
75,81,84,False,False,True,False,False,False,False,False,True,False,True,False,1
74,79,75,True,False,False,True,False,True,False,False,False,False,False,False,1
58,55,48,True,False,True,False,False,True,False,False,False,False,True,True,1
51,54,41,True,True,False,False,False,False,False,False,False,True,True,False,1
70,55,56,True,False,False,False,True,False,True,False,False,False,True,True,1
59,66,67,False,False,True,False,False,False,False,False,False,False,True,True,1
71,61,69,True,False,False,True,False,False,False,False,True,False,True,False,1
76,72,71,False,False,False,True,False,False,False,False,False,True,True,True,1
59,62,64,False,False,True,False,False,False,False,False,True,False,False,True,1
42,55,54,False,False,False,False,True,False,False,False,True,False,False,False,1
57,43,47,True,False,False,False,False,False,True,False,False,False,True,True,1
88,73,78,True,False,False,True,False,False,False,False,True,False,True,True,1
22,39,33,False,False,True,False,False,False,False,False,True,False,False,True,0
88,84,75,True,True,False,False,False,False,False,False,False,True,True,True,1
73,68,66,True,False,True,False,False,False,False,False,False,False,False,True,1
68,75,81,False,False,False,True,False,True,False,False,False,False,True,False,1
100,100,93,True,False,False,False,True,False,False,False,False,False,False,False,1
62,67,69,True,False,False,False,False,False,False,False,False,True,True,False,1
77,67,68,True,False,False,False,False,True,False,False,False,False,True,True,1
59,70,66,False,True,False,False,False,False,False,False,False,False,True,False,1
54,49,47,True,False,False,True,False,True,False,False,False,False,True,True,1
62,67,61,True,False,False,True,False,False,False,False,False,True,True,True,1
70,89,88,False,False,True,False,False,False,False,False,True,False,True,False,1
66,74,78,False,False,False,False,True,False,True,False,False,False,False,False,1
60,60,60,True,True,False,False,False,False,False,False,True,False,False,True,1
61,86,87,False,True,False,False,False,False,False,False,False,False,True,False,1
66,62,64,True,False,False,True,False,False,False,False,False,False,False,True,1
82,78,74,True,True,False,False,False,False,False,False,False,False,False,False,1
75,88,85,False,False,False,False,True,False,False,False,True,False,False,False,1
49,53,52,True,True,False,False,False,False,False,True,False,False,False,True,1
52,53,49,True,False,True,False,False,False,True,False,False,False,True,True,1
81,92,91,False,False,False,False,True,False,False,True,False,False,True,True,1
96,100,100,False,False,True,False,False,True,False,False,False,False,True,False,1
53,51,51,True,False,True,False,False,False,True,False,False,False,False,False,1
58,76,78,False,True,False,False,False,False,False,True,False,False,False,False,1
68,83,78,False,True,False,False,False,False,True,False,False,False,True,False,1
67,75,70,False,False,True,False,False,False,False,False,True,False,False,False,1
72,73,74,True,False,False,False,False,False,True,False,False,False,True,False,1
94,88,78,True,False,False,False,True,False,False,False,False,True,True,True,1
79,86,81,False,False,False,True,False,False,False,False,True,False,True,True,1
63,67,70,False,False,True,False,False,False,False,False,False,False,True,True,1
43,51,54,False,False,True,False,False,True,False,False,False,False,False,False,1
81,91,87,False,False,True,False,False,False,False,True,False,False,True,False,1
46,54,58,False,True,False,False,False,False,True,False,False,False,False,False,1
71,77,77,False,False,True,False,False,False,False,False,False,False,True,False,1
52,70,62,False,True,False,False,False,False,False,True,False,False,False,False,1
97,100,100,False,False,False,True,False,False,False,False,False,True,True,False,1
62,68,75,True,False,True,False,False,False,False,True,False,False,False,False,1
46,64,66,False,False,True,False,False,False,False,False,True,False,False,True,1
50,50,47,False,False,False,False,True,False,True,False,False,False,True,True,1
65,69,70,False,False,False,True,False,False,False,False,False,False,True,True,1
45,52,49,True,False,True,False,False,False,False,False,False,True,False,False,1
65,67,65,True,False,True,False,False,False,False,False,False,False,False,False,1
80,76,65,True,False,False,False,True,False,True,False,False,False,True,True,1
62,66,68,True,False,False,True,False,False,False,False,False,True,True,False,1
48,52,45,True,True,False,False,False,False,False,False,False,True,False,True,1
77,88,87,False,False,True,False,False,True,False,False,False,False,True,True,1
66,65,69,False,False,False,False,True,False,False,False,False,False,True,True,1
76,83,79,True,False,False,True,False,False,False,False,True,False,True,False,1
62,64,66,False,True,False,False,False,False,False,False,False,True,True,True,1
77,62,62,True,False,False,True,False,False,False,False,True,False,True,False,1
69,84,85,False,False,True,False,False,False,False,True,False,False,True,False,1
